,socio1. In which country do you work?,edu1. What is the highest qualification you have obtained?,edu2. What was your academic subject?,edu3. Enter your academic subject,rse16a. Are you employed primarily to develop software for research?,rse16b. Do you spend more time developing software than conducting research?,rse16c. Are you employed as a postdoctoral researcher?,"rse16d. Are you the person who ""does computers"" in your research group?",currentEmp1. Do you work for a university?,currentEmp16a. In what year did you start your current position?,currentEmp10. What type of contract are you employed on?,currentEmp11. What is the duration of your current contract?,currentEmp12. Do you work full time or part time?,currentEmp16b. Is this your first job?,prevEmp16a. Have you previously worked in the private sector?,prevEmp16b. Why did you leave the private sector?,prevEmp16d. What was the type of your contract?,currentEmp5. What is this job title?,currentWork2. Do you work within a group that provides software development help or expertise to researchers from other groups within your organisation?,currentWork16a. What percentage of your time do you spend developing software each week?,paper1. Has your software ever contributed to research that has been published in a journal or at a conference?,paper2. Were you acknowledged in the paper?,paper4. Were you named as a co-author of the paper?,paper5. Were you named as the lead author of the paper?,stability1. What is the bus factor of your most important software project?,stability2. Is there a technical hand-over plan for your most important software project?,perfCheck1. Do you receive sufficient information on the results of your work?,perfCheck2. Does your work give you the opportunity to check on how well you are doing your work?,perfCheck4. Do you receive sufficient information on the purpose of your work?,perfCheck5. Does your work provide you with direct feedback on how well you are doing your work?,perfCheck6. Does your supervisor/line manager inform you about how well you are doing your work?,perfCheck7. Do your colleagues inform you about how well you are doing your work?,turnOver1. How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?,turnOver2. How often do you look forward to another day at work?,turnOver3. How often do you consider leaving your job?,turnOver4. How often do dream about getting another job that will better suit your needs?,turnOver5. My current job satisfies my personal needs,turnOver6. I would accept another job at the same compensation level if I was offered it,affRec1. I am satisfied with my supervisor/line manager's confidence in me,affRec2. I am satisfied with a word of thanks from my supervisor/line manager,affRec3. I am satisfied with the recognition I receive from my supervisor/line manager for doing my job,affRec4. I am satisfied with the compliments from my supervisor/line manager concerning my work,affRec5. I am satisfied with the encouragement from my supervisor/line manager while doing my job,percEmp1. It would not be very difficult for me to get an equivalent job in a different organisation,percEmp2. I can think of a number of organisations that would probably offer me a job,percEmp3. My experience is in demand on the labour market,affSat1. I find real enjoyment in my job,affSat2. Most days I am enthusiastic about my job,affSat3. I feel fairly well satisfied with my job,affSat4. I like my job better than the average person,progRSE1. It is likely that I will gain a promotion within my current group,progRSE2. The process I have to complete to gain a promotion is clear and understandable,progRSE3. There are many opportunities within my chosen career plan,progRSE4. My current position is an integral part of my career plan,progRSE5. It is likely that my next position will be an RSE role,"skill2. In your opinion, what are the three most important skills that a Research Software Engineer must possess?","skill2-1. In your opinion, what are the three most important skills that a Research Software Engineer must possess?","skill2-2. In your opinion, what are the three most important skills that a Research Software Engineer must possess?",ukrse1. Are you a member of the UK RSE Association? (Members are people who have signed up to the UK RSE mailing list),tool1. What are the three tools or services you use most often to achieve your work?,tool16a. What are the three tools or services you use most often to achieve your work?,tool16b. What are the three tools or services you use most often to achieve your work?,socio2. Please select your gender,socio3. Please select your age,socio4. Please select the range of your salary,tool2. What is your Operating System of choice for use at work?
135,United Kingdom,Doctorate,Computer Sciences,,Yes,Yes,No,No,No,2014.0,Fixed term,36.0,Full time,No,Yes,Others,Permanent,,No,60,Yes,Yes,Yes,Yes,2.0,No,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Often,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Communicate IT to non-IT expert,Grasp non-IT quickly,Excellent Software Engineering skills,Yes,Java & Eclipse,Bio-Ontologies,Pen & Paper,Male,35 to 44 years,£50 000 to £59 999,OS X
136,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,No,Yes,2012.0,Fixed term,,Full time,No,Yes,Others,Permanent,Postdoctoral Research Associate,No,60%,Yes,No,No,No,2.0,No,Sometimes,Sometimes,Very Often,Sometimes,Never ,Sometimes,Very Often,Sometimes,Often,Very Often,Disagree,Neither agree or disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Disagree,Disagree,skilled in talking to other people and listening,skilled in judging when it is better to delete the code he's written,write good documentation,No,python,cuda,c,Male,35 to 44 years,£35 000 to £39 999,GNU/Linux
137,United Kingdom,Doctorate,Combined studies,,No,Yes,Yes,Yes,Yes,2014.0,Fixed term,24.0,Full time,No,No,,Fixed-term,,No,20,Yes,Yes,Yes,Yes,2.0,No,Very Often,Very Often,Always,Often,Very Often,Very Often,Often,Sometimes,Often,Often,Disagree,Agree,Strongly Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Strongly disagree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Tenacity,Communication,Reliable programming,Yes,Google Docs,Microsoft Word,Dropbox,Male,25 to 34 years,£40 000 to £44 999,Windows
138,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,,Yes,2015.0,Permanent,,Full time,No,No,,Permanent,,Yes,50,Yes,No,No,No,1.0,Yes,Often,Very Often,Always,Always,Very Often,Very Often,Sometimes,Never,Sometimes,Very Often,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Analytical thinking,Ability to learn new technologies quickly,Self critical,Yes,Python,MATLAB,R,Male,35 to 44 years,£45 000 to £50 000,OS X
139,United Kingdom,Masters degree,Mathematical and Computer Sciences,,Yes,Yes,No,No,Yes,2014.0,Fixed term,6.0,Full time,No,Yes,Others,Permanent,,No,50,Yes,Yes,Yes,Yes,2.0,No,Very Often,Sometimes,Very Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Disagree,Neither agree or disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Disagree,Agree,enthusiasm,a good sense for a high level of detail,overview of the field,Yes,Text editor,Python interpreter,Paraview,Male,35 to 44 years,£30 000 to £34 999,Windows
140,United Kingdom,Doctorate,Other,Physics + Engineering,No,Yes,Yes,Yes,Yes,2011.0,Fixed term,6.0,Full time,No,Yes,Mismatch between description and promise during the interview and actual job,Permanent,,Yes,>50%,Yes,Yes,Yes,No,1.0,No,Very Often,Often,Often,Often,Often,Often,Always,Often,Often,Often,Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Communication,Concentration (i.e. ignore most requests for help and actually get on with fixing something),Craftiness (i.e. massaging day-to-day work into a career),Yes,Bash,C++,Python,Male,25 to 34 years,£30 000 to £34 999,GNU/Linux
141,United Kingdom,Undergraduate degree,Physical Sciences,,Yes,Yes,,No,No,2008.0,Permanent,,Full time,No,No,,Zero hour contract,,No,70%,Yes,No,No,No,2.0,No,Sometimes,Often,Often,Often,Sometimes,Never ,Very Often,Sometimes,Sometimes,Always,Neither agree or disagree,Agree,Agree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Agree,Code design,Code optimisation,Patience!,No,python,fortran,shell scripting,Female,35 to 44 years,£25 000 to £29 999,GNU/Linux
142,United Kingdom,Doctorate,Social studies,,No,No,Yes,Yes,Yes,2012.0,Fixed term,12.0,Full time,Yes,,,,,No,4,Yes,No,Yes,No,3.0,Yes,Always,Very Often,Always,Always,Always,Always,Very Often,Never ,Often,Often,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Strongly disagree,multiple languages,sys admin,version control,No,R,linux,git,Male,25 to 34 years,£35 000 to £39 999,GNU/Linux
143,United Kingdom,Doctorate,Engineering,,Yes,Yes,Yes,No,Yes,2014.0,Fixed term,33.0,Full time,No,Yes,Others,Permanent,Post Doctoral Research fellow,No,95,Yes,Yes,No,Yes,1.0,No,Often,Often,Very Often,Often,Sometimes,Never ,Sometimes,Sometimes,Never,Always,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly disagree,Neither agree or disagree,Disagree,Strongly disagree,Neither agree or disagree,methodical,communication,adaptable,No,fortran compiler,Unix grep (shell tools),pen and paper,Male,45 to 54 years,£35 000 to £39 999,GNU/Linux
144,United Kingdom,Doctorate,Engineering,,No,No,No,No,Yes,2008.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,20%,No,,,,2.0,No,Often,Often,Very Often,Very Often,Very Often,Often,Sometimes,Often,Sometimes,Sometimes,Neither agree or disagree,Disagree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,programming expertise,the ability to work in a team,ability to learn,No,desktop applications (e.g. email client),"editors, compilers, libraries",scientific software,Male,45 to 54 years,£40 000 to £44 999,GNU/Linux
145,United Kingdom,Undergraduate degree,Computer Sciences,,Yes,Yes,No,No,Yes,2015.0,Permanent,,Full time,Yes,,,,,No,35,Yes,No,No,Yes,2.0,No,Sometimes,Very Often,Always,Always,Always,Often,Sometimes,Sometimes,Sometimes,Sometimes,Neither agree or disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Disagree,Coding,Being assertive in discussions related to project direction,Maths/stats,No,VIM,ghc,gfortran,Male,18 to 24 years,Less than £25 000,OS X
146,United Kingdom,Masters degree,Computer Sciences,,Yes,Yes,No,No,Yes,2014.0,Fixed term,8.0,Full time,No,Yes,Others,Freelancer  consultant  contractors,Senior Web Developer,No,100,Yes,No,No,No,4.0,Yes,Often,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Neither agree or disagree,Disagree,Disagree,Agree,Disagree,Software development,Networking,Internal administration knowledge,Yes,OSS,Docker,AWS,Male,35 to 44 years,£30 000 to £34 999,GNU/Linux
147,United Kingdom,Doctorate,Biological Sciences,,Yes,Yes,Yes,No,Yes,2015.0,Permanent,,Full time,No,Yes,Mismatch between description and promise during the interview and actual job,Permanent,Senior Research Software Engineer,No,80,Yes,Yes,Yes,Yes,2.0,No,Very Often,Very Often,Very Often,Often,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Neither agree or disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly Agree,Programming,Statistical analysis,Project Planning,Yes,Github,Python,linux,Male,35 to 44 years,£40 000 to £44 999,GNU/Linux
148,United Kingdom,Masters degree,Computer Sciences,,No,Yes,No,No,Yes,2013.0,Permanent,,Full time,No,Yes,Others,Fixed-term,,Yes,35%,Yes,Yes,Yes,No,4.0,Yes,Often,Very Often,Very Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Neither agree or disagree,Strongly disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Agree,Neither agree or disagree,Strongly Agree,Agree,Software Engineering,Communication,Writing,Yes,Git,GNU compiler,vim,Male,25 to 34 years,£45 000 to £50 000,OS X
149,United Kingdom,Doctorate,Physical Sciences,,No,Yes,Yes,Yes,Yes,2012.0,Fixed term,12.0,Full time,Yes,,,,,No,90,Yes,No,Yes,No,1.0,No,Sometimes,Sometimes,Never ,Sometimes,Sometimes,Never ,Always,Never ,Never,Always,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree or disagree,perseverance,abnegation,patience,Yes,Git,Visual Studio,bitbucket,Male,25 to 34 years,£25 000 to £29 999,Windows
150,United Kingdom,Doctorate,Subjects allied to Medicine,Subjects allied to Medicine,Yes,Yes,No,Yes,Yes,2015.0,Fixed term,36.0,Full time,No,No,,Fixed-term,,No,90%,Yes,Yes,Yes,No,1.0,No,Often,Often,Always,Often,Very Often,Often,Sometimes,Never,Never ,Sometimes,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Neither agree or disagree,Agree,Agree,expertise,patience,enthusiasm,Yes,phpstorm,xcode,visual studio,Male,25 to 34 years,£35 000 to £39 999,OS X
151,United Kingdom,Doctorate,Mathematical and Computer Sciences,,No,No,No,No,Yes,2015.0,Permanent,,Full time,No,No,,Fixed-term,,No,33,Yes,Yes,Yes,Yes,2.0,Yes,Always,Always,Very Often,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never ,Never ,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly disagree,,,,No,,,,Male,25 to 34 years,£40 000 to £44 999,GNU/Linux
152,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,,No,2007.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,25%,Yes,Yes,Yes,Yes,5.0,No,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Very Often,Never,Never ,Never ,Strongly Agree,Strongly disagree,Strongly Agree,Neither agree or disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Strongly Agree,Software Development,Communications,Project Management,Yes,Github,Python,Stackoverflow,,35 to 44 years,£50 000 to £59 999,Windows
153,United Kingdom,Doctorate,Physical Sciences,,No,Yes,Yes,No,Yes,2011.0,Fixed term,24.0,Full time,No,No,,Fixed-term,,Yes,40,Yes,Yes,No,No,3.0,No,Often,Very Often,Often,Often,Never ,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,,,,No,,,,Male,35 to 44 years,£35 000 to £39 999,GNU/Linux
154,United Kingdom,Doctorate,Biological Sciences,,No,Yes,Yes,No,Yes,2011.0,Fixed term,12.0,Full time,No,No,,Fixed-term,,Yes,50,Yes,Yes,Yes,No,1.0,No,Sometimes,Sometimes,Very Often,Often,Often,Sometimes,Never ,Sometimes,Sometimes,Sometimes,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,translation (from end user to internal workings of software),good understanding of programs used,communication,No,R,R Studio,R markdown,Female,35 to 44 years,£30 000 to £34 999,OS X
155,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,Yes,Yes,Yes,2005.0,Fixed term,48.0,Full time,No,No,,Fixed-term,,No,80,Yes,No,No,No,2.0,No,Sometimes,Always,Always,Often,Often,Never ,Sometimes,Never,Never ,Very Often,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Strongly Agree,Software engineering,Analytical,Mathematical,Yes,Fortran,MPI,Mercurial,Male,35 to 44 years,£35 000 to £39 999,GNU/Linux
156,United Kingdom,Undergraduate degree,Computer Sciences,,Yes,Yes,No,,Yes,2015.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,50,Yes,Yes,Yes,Yes,2.0,No,Sometimes,Often,Always,Very Often,Always,Very Often,Sometimes,Never,Never ,Sometimes,Agree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Ability to learn new things,Software engineering (inc coding),Talking to non-programmers about requirements,Yes,Shell,GitHub,Docker,Male,35 to 44 years,£40 000 to £44 999,GNU/Linux
157,United Kingdom,Masters degree,Physical Sciences,,Yes,Yes,No,Yes,No,2002.0,Permanent,,Full time,No,Yes,Excessive overtime hours,Fixed-term,Climate Information for International Development managear,Yes,25,Yes,Yes,Yes,No,2.0,Yes,Very Often,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Coding,Science,Organisation,No,Linux,Outlook,Fortran,Male,35 to 44 years,£40 000 to £44 999,GNU/Linux
158,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,No,Yes,2012.0,Fixed term,12.0,Full time,No,No,,Fixed-term,,Yes,75%,Yes,Yes,Yes,Yes,2.0,Yes,Very Often,Very Often,Often,Sometimes,Often,Often,Sometimes,Sometimes,Never ,Sometimes,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Strongly Agree,Scientific background,Programming and software development skills,Management skills,Yes,HPC,Regression and unit tests,Community software,Male,35 to 44 years,£40 000 to £44 999,OS X
159,United Kingdom,Undergraduate degree,Computer Sciences,,Yes,Yes,No,No,Yes,1990.0,Permanent,,Full time,No,Yes,Others,Permanent,,No,95,Yes,No,No,No,2.0,No,Sometimes,Never ,Sometimes,Never ,Never ,Sometimes,Sometimes,Often,Sometimes,Often,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree or disagree,Neither agree or disagree,people skills,keeping tech skill-base up to date,some domain knowledge,No,"good programmer's editor, e.g., Sublime Text, Vim, Atom...",Visual Studio,Browser / Stack Overflow,Male,55 to 64 years,£25 000 to £29 999,Windows
160,United Kingdom,Doctorate,Social studies,,No,Yes,Yes,No,Yes,2015.0,Fixed term,36.0,Full time,No,No,,Fixed-term,,No,80,Yes,Yes,No,Yes,1.0,No,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never ,Often,Often,Sometimes,Sometimes,Disagree,Strongly disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Neither agree or disagree,Agree,Autonomy,Problem solving,Openness to new methods,Yes,Netbeans,Rstudio,Python,Male,35 to 44 years,£25 000 to £29 999,Windows
161,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,No,Yes,2012.0,Fixed term,24.0,Full time,No,Yes,Others,Permanent,,No,80,Yes,Yes,Yes,No,1.0,No,Often,Often,Very Often,Very Often,Very Often,Often,Sometimes,Often,Never ,Never ,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Neither agree or disagree,Disagree,Strongly Agree,Teamwork,Scientific thinking,Ability to keep learning,No,JetBrains WebStorm,Github,Linux,Male,25 to 34 years,£40 000 to £44 999,GNU/Linux
162,United Kingdom,Doctorate,Physical Sciences,,No,No,Yes,No,Yes,2015.0,Fixed term,12.0,Full time,No,No,,Fixed-term,,No,20%,Yes,No,Yes,Yes,1.0,No,Often,Often,Very Often,Very Often,Often,Sometimes,Sometimes,Often,Sometimes,Always,Neither agree or disagree,Disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Problem solving,Adaptive learning,Algorithm design,Yes,Github,Hard drive back up ,---,Male,25 to 34 years,£30 000 to £34 999,Windows
163,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,,Yes,2011.0,Permanent,,Full time,No,No,,Fixed-term,Programmer,No,40%,Yes,Yes,Yes,No,1.0,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Neither agree or disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Programming,Basic/intermediate sys admin/deployment,Scientific experience,Yes,Emacs,Google/Stack Overflow,Galaxy,Male,45 to 54 years,£30 000 to £34 999,GNU/Linux
164,United Kingdom,Doctorate,Physical Sciences,,No,Yes,No,,Yes,2015.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,5,No,,,,1.0,No,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Never ,Never ,Neither agree or disagree,Disagree,Disagree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Strongly disagree,logical thinking,programming experience,patience,No,,,,Male,25 to 34 years,£35 000 to £39 999,GNU/Linux
165,United Kingdom,Doctorate,Mathematical and Computer Sciences,,No,Yes,Yes,Yes,Yes,2014.0,Fixed term,45.0,Full time,Yes,,,,,No,70,No,,,,3.0,Yes,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Often,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Disagree,Agree,Agree,Agree,Software Development ,Project Management ,Communication,Yes,Qt/Qmake,JIRA,Gitlab,Male,25 to 34 years,£30 000 to £34 999,Windows
166,United Kingdom,Doctorate,Engineering,,No,No,Yes,Yes,Yes,2013.0,Fixed term,27.0,Full time,Yes,,,,,No,20,Yes,Yes,Yes,Yes,1.0,No,Very Often,Very Often,Very Often,Very Often,Often,Sometimes,Sometimes,Sometimes,Never ,Never ,Neither agree or disagree,Strongly disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly Agree,Agree,Disagree,Tenacity,"Familiarity with essential tools (version control, code editors, etc.)",Good writing and presenting skills,Yes,Domain-specific simulation tools (E.g. Simulink),Git/GitHub,"Code editors (Eclipse, Sublime, etc.)",Male,25 to 34 years,£35 000 to £39 999,Windows
167,United Kingdom,Masters degree,Physical Sciences,,Yes,Yes,No,,No,2012.0,Permanent,,Full time,Yes,,,,,Yes,90,Yes,No,No,No,1.0,No,Sometimes,Often,Very Often,Often,Very Often,Very Often,Often,Sometimes,Sometimes,Often,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Agree,Conscientiousness,Software pattern knowledge,Broad technical knowledge,No,Python,Git,IDEs (e.g. Geany),Male,25 to 34 years,£30 000 to £34 999,GNU/Linux
168,United Kingdom,Doctorate,Mathematical and Computer Sciences,,Yes,Yes,No,No,Yes,2013.0,Fixed term,36.0,Full time,No,No,,Fixed-term,,No,60,Yes,Yes,Yes,Yes,5.0,No,Often,Often,Very Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,programming skills,skills to navigate large code bases,system administration and other general IT skills,No,git/github,vim,,Male,45 to 54 years,£35 000 to £39 999,GNU/Linux
169,United Kingdom,Doctorate,Physical Sciences,,No,No,No,Yes,Yes,2015.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,25,Yes,Yes,Yes,Yes,1.0,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never ,Very Often,Often,Sometimes,Often,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Disagree,Ability to understand interdisciplinary problems and translate them into code,"Technical skills (programming languages, tools)",Structured and thorough approach to coding,No,git + BitBucket,compilers and build systems,Python,Male,35 to 44 years,£35 000 to £39 999,GNU/Linux
170,United Kingdom,Further Education (NVQ  A-Level ...),,,Yes,Yes,No,No,No,2015.0,Fixed term,12.0,Full time,No,Yes,Others,Fixed-term,Software Engineer,Yes,90,No,,,,3.0,No,Often,Often,Very Often,Often,Often,Often,Sometimes,Sometimes,Never ,Sometimes,Neither agree or disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Neither agree or disagree,Ability to determine researchers' software needs,Creativity,Thoroughness,No,Python,Javascript,Chrome,Male,18 to 24 years,Less than £25 000,GNU/Linux
